,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,emotion
0,-580.8716,32.85911,-8.301598,4.3735857,-11.957764,-8.367986,-3.991293,-9.278994,-4.843339,-3.5177643,-2.569472,-3.6200848,-3.2074463,-1.2179635,-2.932449,-1.0663344,-0.026097488,2.3731794,-0.045241166,3.6683776,1.9487635,2.9821343,0.15607682,2.8896918,1.1688836,4.289849,2.6159225,2.426024,-1.4080375,1.323278,-0.688553,-0.12853856,-1.1004966,1.0071627,1.0636638,2.1251829,-0.51870716,1.4013321,-0.5376359,0.5873238,angry
1,-755.69794,43.133453,4.9734616,11.460954,-5.798788,-3.2408955,-6.088488,-6.9895525,-2.155521,-2.3549051,-2.970142,-5.5424366,-2.732594,-1.6272517,-3.0835817,-2.380951,-2.1759472,-2.3946762,-4.1851916,-0.41242892,-2.3992102,-0.5921571,-1.4520373,2.1824205,-2.9563036,1.0721995,-1.8432816,0.30128172,-0.5414613,1.7104846,0.48929182,2.436593,2.0668738,4.8278847,4.634501,4.150778,1.792739,1.5565915,0.7766692,1.4686154,neutral
2,-654.46783,41.586,-4.520732,-0.2891352,-9.248798,-9.497285,-10.731923,-11.767284,-4.974097,-7.0787377,-2.4624374,-2.353946,-6.864412,0.6677567,-4.7168517,-4.1144376,-5.3844795,-1.5513986,-4.335867,-1.6530358,-4.2265806,-1.0152736,-5.738773,1.9468318,-3.534811,-0.12634647,-2.3171947,3.564212,2.1557791,6.5130563,1.9424917,4.10417,0.04422731,2.4867384,-1.2740135,0.78691584,-0.12256197,0.0033089218,-0.36192667,0.35860905,disgust
3,-577.97,32.93108,-16.20545,7.773673,-13.510371,-15.707366,-10.383009,-20.393244,-4.9616084,-5.5178704,-12.152453,2.3143187,-10.04551,-3.7206786,-6.094039,-6.0636897,-3.5196743,-1.13028,-1.9993348,3.2062104,5.151638,5.0665803,7.816096,6.404593,2.1221771,0.26826975,-1.640093,0.81933606,-3.0973089,0.6148837,-2.5919197,0.38049868,-2.7795734,2.2090018,0.8023326,1.5170904,-1.2382905,0.50158584,-0.77377236,0.861348,sad
4,-496.13937,13.305072,-26.29947,-3.792091,-15.372745,-15.916575,-8.041428,-19.86992,-5.1321583,-7.5753384,-14.956957,-0.66714835,-2.2786958,8.52421,4.4256525,7.1100926,6.346641,4.165416,-3.131776,0.70963675,-1.040302,-3.9699464,-4.2359395,-1.2404886,-2.4026995,0.24697818,-0.9393056,-0.066772565,0.14371571,-0.19307813,-2.6028814,2.692368,-2.8970797,2.2850277,-1.4503602,1.1966478,-0.0053658453,1.369413,1.0917768,0.59104854,fearful
5,-727.79315,32.3909,3.5758708,8.884739,-6.7670937,-4.921948,-7.4019494,-10.499579,-4.8441567,-6.86127,-5.512338,-8.9683485,-5.4495687,-5.2136564,-5.3824472,-3.2398448,-2.9770834,-5.58514,-4.8850603,-1.5212295,-4.894609,-1.9224676,-3.133746,1.6628302,0.051462743,4.4258957,2.4454794,4.2958336,1.1131226,2.470153,1.5323722,5.295865,2.4371223,3.53101,0.9927926,2.320152,-0.18847403,2.8882334,-1.2627128,-0.9343189,calm
6,-654.275,31.678825,4.757739,1.6938511,-5.258227,-3.1685407,-7.664437,-7.3727117,-5.322221,-6.8595867,-3.6546452,-2.597136,-5.622899,-4.0469537,-5.4534016,-4.1000705,-4.923886,-1.7816191,-6.6221347,-3.2041502,-4.9524503,-1.9436723,-2.5380964,1.6293691,-0.4920315,2.2003403,0.070701174,1.9227173,-0.7036751,2.5919342,-0.23536506,2.7737825,-0.47769222,1.3364654,0.019090788,2.070533,-0.055855438,0.70121175,-1.363436,0.9653743,disgust
7,-594.387,28.03242,-10.676164,4.738489,-8.223784,-12.211834,-14.317027,-12.749962,-2.3050811,-8.955613,-6.5552707,-3.547637,-5.5892353,-5.241661,-8.889854,-6.297854,-6.092008,-1.2526208,-3.6391652,3.6704957,1.7198699,3.2166855,2.9341576,4.6813283,-1.0137565,3.5760872,-1.2964665,1.0520964,-0.81609356,-0.8371062,-1.6281024,0.7583885,-0.065107904,2.4455438,0.79889977,1.8262455,1.1549983,2.0867975,0.15111838,0.39864597,happy
8,-707.89215,47.68167,8.201078,16.368397,-5.403626,-4.4030704,-8.747381,-7.424941,-4.7715683,-5.119587,-2.641309,-2.5956693,-3.0812216,-0.6863402,-1.7537743,-1.5163276,-3.8251562,0.89817935,-4.1693006,1.5509126,-1.198717,1.4110557,1.0783978,1.4641639,-1.9538966,2.2916663,-1.1853423,2.337051,-1.2113082,2.328285,-0.13024905,4.4629064,1.2293357,5.0944433,1.5521953,5.0205393,1.1029954,1.1442477,-0.8905518,1.3475575,sad
9,-471.161,13.074657,-30.01429,-0.31176892,-9.8897,-21.365303,-6.319278,-18.191591,-6.6016397,-6.4298778,-8.741637,6.571666,5.410424,13.31505,1.4232224,-0.11371077,0.13136642,2.8212395,-3.4028482,1.7801706,-1.2112664,-0.90621084,1.1809382,1.5747255,-1.6986351,1.8307942,-2.3681614,-0.60158205,-2.52967,-0.5252264,-0.32581353,-0.15100129,-2.2209592,1.4003673,-0.1840639,1.3810289,1.1386982,1.6495683,-1.1744411,1.5042862,happy
10,-687.9227,39.461433,-6.234121,7.2965407,-10.906421,-5.5118546,-7.1241465,-7.750524,-4.045341,-5.2891707,-5.1443663,-6.5234303,-3.8994176,-3.8748543,-5.838792,-2.4894419,-2.192688,0.48379958,-0.23531803,4.1654963,0.68666404,1.7837847,-0.093779646,1.4853144,-1.7723739,0.87260145,-1.3413357,0.5794992,-2.4601529,-0.43165317,-1.8200886,1.3756752,-2.1519134,0.9382739,-0.45552793,1.4399623,-0.14702368,1.5167882,0.8330282,2.3117707,surprised
11,-676.68396,42.114243,8.026586,11.273394,-5.466702,-2.4998684,-10.292646,-9.73236,-2.8683286,-5.740304,-3.6171827,-3.0844054,-3.0602477,-1.815491,-4.213833,-1.3261468,-3.911806,0.0015031777,-4.460041,0.4004812,-4.177179,-0.49827525,0.02928351,5.115287,0.35260478,5.4622293,0.60324556,3.3023448,0.23396328,2.2394462,1.2494056,5.038603,2.7900808,3.428736,1.1367142,2.199881,0.5704015,2.2332141,0.80845505,0.16817607,sad
